,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
132,Process Guide (Former  Employee),Process Guide ,Former Employee, Shepherdsville, KY ," Shepherdsville, KY "," December 13, 2021",Good place to work if you are trusted,"Managers give most people a shot at something that isn’t the main job. If they trust you they’ll give you more opportunities to do other tasks. From the job you’re hired onto there’s a lot of side jobs that you could be put on, so it’s not doing the same task everyday.",Insurance plans,A lot of people competing for promotions,4,Amazon.com
133,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Dallas, TX ," Dallas, TX "," December 13, 2021",Warehouse work,"Nonstop work, on your feet the entire time, great place of your a young man, or don’t have small kids. I worked in picking and packing and had people constantly telling me I’m working too slow and watching over your shoulder.",Pay,"Hours, short breaks",3,Amazon.com
134,Forklift Operator (Former  Employee),Forklift Operator ,Former Employee, Baltimore, MD ," Baltimore, MD "," December 13, 2021",Fast paced,"It is just a job, nothing more, nothing less. I was brought up to just have a job, not matter what. I worked here just help make ends meet. This by far wasn't the best environment or job in general that I have worked for, but my expectations were also low at the start.", , ,3,Amazon.com
135,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Concord, NC ," Concord, NC "," December 13, 2021",Repetitive,"You can expect your day to day workload to be repetitive depending on what your position is for Amazon. The challenging part about being a warehouse associate if you’re a stocker, you have to meet the daily quota for your department. If you're constantly under what they are looking for in terms of how many products were stocked for the day it could later result in termination.","Short 30 min break, long hours", ,3,Amazon.com
136,SENIOR CATALOG ASSOCIATE/ CATALOG SPECIALIST I (Current  Employee),SENIOR CATALOG ASSOCIATE/ CATALOG SPECIALIST I ,Current Employee, Chennai, Tamil Nadu ," Chennai, Tamil Nadu "," December 13, 2021",Awesome place to work,Amazon has got good stress free work culture. No specific break time you can take it when ever you want you are free to work from any places at office may be pantry or huddle space or where ever you wish to. You can easily avail leave and mangers are so cooperative and understanding.,"Food coupon, team outing in every three months, work life balance, no dress code( you can even come to work in pajama's)",Growth is very difficult and takes much time,5,Amazon.com
137,"Center Rider , pallet forklift (Current  Employee)","Center Rider , pallet forklift ",Current Employee, Forney, TX ," Forney, TX "," December 13, 2021",Hours and benefits,"Hours are sometimes too long in one day .. wish we could do 5 days at 8 hrs a day or if good one day work longer or shorter then make it up next day…

Benifits are amazing for my family, husband ended in ICU and the insurance paid it all thank you God…
We have been very blessed with the benefits…",Free snacks would be nice every day..,The breaks are not great by the time you walk to break room it’s only 20 min hard to eat your food…,4,Amazon.com
138,FC Associate I (Current  Employee),FC Associate I ,Current Employee, Swedesboro, NJ ," Swedesboro, NJ "," December 13, 2021",its a good job,"i really like my job at amazon , the superviors are great and very friendly , they are very caring, so helpful too and its a really fun job its never boring", , ,5,Amazon.com
139,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, New Jersey , New Jersey , New Jersey ," December 13, 2021",It’s an ok part time job give it 6 months and try to find out which kinda building you are working at and try others as well,I like my job at amazon. It’s not terrible it’s a job. Peak season is definitely good pay. I would give this definitively a 7 out 10 on how good it is,Flexibility, ,5,Amazon.com
140,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Hagerstown, MD ," Hagerstown, MD "," December 13, 2021",10-hour days,The orientation you receive is ridiculous. You have to watch videos on your phone. There is no human resources on site. The traing that is given is a joke., , ,1,Amazon.com
141,Fulfillment Associate (Former  Employee),Fulfillment Associate ,Former Employee, Crest Hill, IL ," Crest Hill, IL "," December 13, 2021",standard wearhouse gig,"this was a typical warehouse job. a lot of standing, walking, pushing/pulling, scanning. The job itself isn't necessarily brutal because you can manage your way around that. Managers are the ones that make this job what it is. Most of them don't know how to talk to human beings. Find patience and you'll find it tolerable.","pto, weekly pay","short breaks, inexperienced managers",3,Amazon.com
142,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Hawthorne, CA ," Hawthorne, CA "," December 13, 2021",Productive,Never a dull moment. The shifts went by relatively quickly due to the fast paced environment. I learned all aspects of warehousing and the pay was weekly. Management was inconsistent but working alongside my coworkers made it tolerable., , ,4,Amazon.com
143,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, West Jefferson, OH ," West Jefferson, OH "," December 13, 2021",A solid workplace if you're looking for something temporary or part-time.,"I like that I can come in fully prepared for, and expecting what I'll be doing at work, even if it's not particularly interesting (and really stretches time). The time-off options are great and easy to use whenever necessary. I believe that mandatory overtime for reduced/full-time schedules are given far too much, and thus, I recommend taking a part-time or flex schedule. Pay is reasonable and benefits are quite good. It's a balanced experience, but will take it's toll after a certain amount of time.","Simple and Repetitive, Time-Off Options, Benefits","Mandatory Overtime, Gets Tiresome With Time, ""Live To Work"" Mentality",3,Amazon.com
144,Delivery Driver/Warehouse (Current  Employee),Delivery Driver/Warehouse ,Current Employee, Chandler, AZ ," Chandler, AZ "," December 13, 2021",fun fast paced 10 hours go by quick for,i like working there bc its good pay breaks are reasonable they give us free food every month free coffee everyday Pto allat its a fun environment you meet alot of characters, , ,5,Amazon.com
145,Warehouse Operative (Current  Employee),Warehouse Operative ,Current Employee, Doncaster , Doncaster , Doncaster ," December 13, 2021",Not a Fun place to work,Amazon Is not a fun place to work. If you enjoy being forced to meet rate/targets and for every small mistake being belittled then amazon is the job for you.,Free Coffee/Hot Chocolate,Long Hours Bad Management,2,Amazon.com
146,Warehouse Operative (Current  Employee),Warehouse Operative ,Current Employee, Nottingham, Nottinghamshire ," Nottingham, Nottinghamshire "," December 13, 2021",Hard and mind numbing work but good pay,"You are expected to meet high targets on your shift. Managers are strict about talking to other associates and time spent not scanning at your station(idle time). Not many opportunities to progress higher in the company. Occasionally get cross-trained on other departments but have seen people be refused to be trained. Look for reasons not to keep a lot of people on after their probation and only offer permanent contracts to a handful. Shifts are very long and mind numbing when stood at a station all night. However, they offer good pay, sometimes bonuses, freebies at random times i.e food, t-shirts, water bottles, snacks. Okay for short term work but would not recommend for longterm employment.","Good pay, freebies","long hours, high expectations, stressful",2,Amazon.com
147,Auxiliar de Logística (Former  Employee),Auxiliar de Logística ,Former Employee, Cajamar, SP ," Cajamar, SP "," December 13, 2021",Empresa agradável de trabalhar.,"Amazon é uma boa empresa pra trabalhar o que estraga a Amazon é a péssima gestão no setor do Recebimento. Essa foi a área que eu trabalhei por quase dois anos , a falta de maturidade dos gestores que não sabem ouvi o funcionário e acaba levando pro lado pessoal. Vale ressaltar que a Amazon abomina qualquer tipo de preconceito seja racial, religião ou a orientação ,acho isso excepcional da Amazon.",Refeição na empresa,Não tem cesta básica ou cartão vale refeição.,5,Amazon.com
148,Operations Specialist (Current  Employee),Operations Specialist ,Current Employee, Spilamberto, Emilia," Spilamberto, Emilia,Romagna "," December 13, 2021",Al di sotto delle aspettative dopo trasferimento uk,Non seguendo le linee di guida americane l’azienda perde tanti punti. La formazione è un po’ a spanna e molto lunga.,Buono pasto che ancora non ho ricevuto,Scarsa organizzazione e il non seguire il modella della casa madre abbassa le aspettative di tutti.,1,Amazon.com
149,Scanner (Former  Employee),Scanner ,Former Employee, Elizabeth, NJ ," Elizabeth, NJ "," December 13, 2021",Hours,"It's not that good, hours are decent but not worth it. Lots of slave work , decent pay but not great pay. The usual thing you expect from a warehouse",Hours,Pay,1,Amazon.com
150,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Houston, TX ," Houston, TX "," December 12, 2021",Overworking,"Management doesn’t care about you, They will overwork you until you can’t anymore and when you’re unable to, they’ll just replace you. Employees on the other hand are nice to talk to", , ,2,Amazon.com
151,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Sacramento, CA ," Sacramento, CA "," December 12, 2021",Productive at all times,Typical warehouse work but if you make it known that you want to learn new things you’ll have that opportunity so you don’t get bored doing repetitive work.,Hour lunch,Not enough pay,3,Amazon.com
152,Picker (Former  Employee),Picker ,Former Employee, Coppell, TX ," Coppell, TX "," December 12, 2021",It's a job,"Amazon has great benefits, but as far as peak season goes if you get sick or have a family emergency it's so hard to take the time off you need. Coworkers are friendly.",Great benefits, ,3,Amazon.com
153,Sortation Associate (Current  Employee),Sortation Associate ,Current Employee, Harahan, LA ," Harahan, LA "," December 12, 2021",You are allowed to work 40 hours each week,"Working at an Amazon delivery station is hard. Yet, you get opportunities to work more hours if you want. You get an opportunity to learn different jobs in the warehouse. Amazon is a great place to work",Guaranteed 40 hours s week,Short breaks,5,Amazon.com
154,Fulfillment Associate (Current  Employee),Fulfillment Associate ,Current Employee, Pontiac, MI ," Pontiac, MI "," December 12, 2021",Fulfillment,"Pay seems great don’t know yet because my start date change so
Far that’s the biggest issue I’ve had so far hopefully things go great I’m pretty excited", , ,5,Amazon.com
155,Problem Solver (Former  Employee),Problem Solver ,Former Employee, Hebron, KY ," Hebron, KY "," December 12, 2021",Exhausting,This job has been stressful and unorganized. There’s a major lack of communication between HR and the Employee Resource Center. Constantly being moved to another station or department which makes it hard to reach quotas.,Benefits,Unorganized,3,Amazon.com
156,Warehouse Team Member (Former  Employee),Warehouse Team Member ,Former Employee, Romulus, MI ," Romulus, MI "," December 12, 2021","pay is decent, the rest not much","from the location i worked at, i had rude managers that don't care about anything and look like they are working just to get the paycheck and live, no sense of organisation, not good supervision for workers as a lot of employees were gathered and talking while they are still on the shift but nothing was done, pay and workout were the only positives i have unfortunately.", , ,3,Amazon.com
157,Logistics Associate (Current  Employee),Logistics Associate ,Current Employee, Ohio , Ohio , Ohio ," December 12, 2021",It's a job.,"Good benefits, decent pay, that's about it. This job is only good for me right now, but I cannot see myself here long term. The managers don't do anything but walk around and talk for the most part, while many the associates are on the floor basically breaking their backs. I'm just glad I work with some decent people.", , ,2,Amazon.com
158,Picker (Current  Employee),Picker ,Current Employee, Tracy, CA ," Tracy, CA "," December 12, 2021",Just a number,"No communication between management. I get audited 3 times in two days for the same thing and am told I did nothing wrong. They are all about numbers, how many picks you get an hour, how long it takes you in between picks, how many items in a tote. If they were more understanding that people have emotions and we are not robots then the workplace would be better.",Overtime,Management,2,Amazon.com
159,Warehouse Operative (Current  Employee),Warehouse Operative ,Current Employee, Ipswich , Ipswich , Ipswich ," December 12, 2021",Fast paced and competitive but great fun,"Built a great team of colleagues over the time. It’s backbreaking work at times and you need to be physically fit but it’s great fun. We have a laugh but when it matters, we all pull together and get it done. The customer is the key to our success.","Many freebies throughout the year like water bottle, t-shirts, hoodies and lots of free food.",Not good if you struggle with heavy lifting.,5,Amazon.com
160,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Salt Lake City, UT ," Salt Lake City, UT "," December 12, 2021",They dont care,"They don't care about, your a number and easy to replace. If you have any issues at home or at work good luck having someone listen who understands.",Work more than your home, ,2,Amazon.com
161,Senior Data Associate (Current  Employee),Senior Data Associate ,Current Employee, Heredia, Provincia de Heredia ," Heredia, Provincia de Heredia "," December 12, 2021",Buen trabajo,"A pesar de algunas decisiones nada agradables, es un buen lugar con horarios flexibles","Seguro médico, asociación solidarista","Constantes cambios en procesos, imposibilidad de ascender",5,Amazon.com
162,Warehouse Operative (Former  Employee),Warehouse Operative ,Former Employee, Dunfermline, Fife ," Dunfermline, Fife "," December 12, 2021",Fast and busy,"It's fast and lots of different jobs to do, The hours rush by which is just how I like it. It's a typical factory job. More about the people you end up working with than the management.", , ,4,Amazon.com
163,Forklift Operator (Former  Employee),Forklift Operator ,Former Employee, Portland, OR ," Portland, OR "," December 12, 2021",This company is not good.,"This is company is not good for people. Inbound (Stow) Outbound (Pick and dock.) for AMXL

This is job is bored. You'll fee like prisoner. The staffs just think about number.", , ,1,Amazon.com
164,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Carrollton, TX ," Carrollton, TX "," December 12, 2021",Boring,Boring and boring and never working here again. Any job is better than this job. Maybe going back to work at Walmart or just going into retirement. Bad job,None,None,2,Amazon.com
165,Prime Now Associate (Former  Employee),Prime Now Associate ,Former Employee, Fort Worth, TX ," Fort Worth, TX "," December 12, 2021","Easy place to work, get in get out",It is easy work for the pay. If you’re looking for just a job and not a career it’s easy money I would think. Of course it’s extremely cold in the freezer and chiller but you have to expect it., , ,4,Amazon.com
166,Associate (Current  Employee),Associate ,Current Employee, Northborough, MA ," Northborough, MA "," December 12, 2021",Good benefits Exhausting work,"Working at the warehouse is not horrible but the work is repetitive and after a few months you get pretty bored no matter what you are doing. If you manage to make a few friends and get to work with them during your shift it makes all the difference but if not the shifts are dreadful and if you work full time you’ll soon either have a physical injury (as I do), or become exhausted from all the physical work you do between 9am - 6:30/7:00 which is my schedule. The work environment is clean and spacious. Break rooms are plentiful. I feel there are not enough incentives given out specially during peak which is holiday season. It took them almost 6 months to pay me my sign on bonus in full, and there are days they make you work extra hours (flex) between 15 min to an hour on top of your schedule, which you are notified either during the shift or the morning of.", , ,3,Amazon.com
167,Associate (Former  Employee),Associate ,Former Employee, Lga9 , Lga9 , Lga9 ," December 12, 2021",Working at amazon,"You are small fish in large pond. Work too hard you destroy your body and reap no benefits. Work smart. Managers don't care about you, only about meeting numbers", , ,3,Amazon.com
168,Counter Person (Former  Employee),Counter Person ,Former Employee, Goodyear, AZ ," Goodyear, AZ "," December 12, 2021",Horrible,"Horrible management,horrible workers , they complain about everything .you can’t even go to the bathrooom , I got fired over something I didn’t do . You only get a 30 minute lunch",None,None,1,Amazon.com
169,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Dubai , Dubai , Dubai ," December 12, 2021",Over all the sustainable of work is good.but sometimes the work load too much to us to Handle.,I'm protect but not safe in my work place.due to the attitude of my co worker that no concern to others. Also the other associate not doing fairly job to others.,Have a good H.R that listen two side of the story.,The work hours is good.,5,Amazon.com
170,Wharehouse Associate (Current  Employee),Wharehouse Associate ,Current Employee, Etna, OH ," Etna, OH "," December 12, 2021",all they care about is numbers,"you will feel like you are a gym constantly the management will not stick around so do not get attached. dealing with hr rather it's in building or corporate is always a hassle and very unlikely to help on the first try.
management is pretty hands off if you do your job well.","independence, possible to move up quickly if you know the right people, great benifits","short breaks, horrible hr, lack of taking health and safety both mentally and physically sersiously",3,Amazon.com
171,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Tulsa, OK ," Tulsa, OK "," December 11, 2021",Absolute garbage,Do not work for amazon. They will work you like a dog and if you can’t keep up with your numbers they will fire you no questions asked. I got injured on the job and I could no longer stand for long periods of time so I required a chair. Amazon would not accommodate me at all., , ,1,Amazon.com
172,Team Associate (Former  Employee),Team Associate ,Former Employee, Nampa, ID ," Nampa, ID "," December 11, 2021",Not Recommended,"Inexperienced management, no communication and nonexistent HR. Everything is done through a horribly made app on your phone. I needed to talk to HR about my hours and it took them 9 days to complete the case created on their app. What a joke of a company.",None,Everything,1,Amazon.com
173,Addetta assistenza clienti (Former  Employee),Addetta assistenza clienti ,Former Employee, Elmas, Sardegna ," Elmas, Sardegna "," December 11, 2021",Ambiente lavorativo stimolante ed entusiasmante.,"Ottima esperienza sotto ogni aspetto , mi sono trovata benissimo sia per quanto riguarda il lavoro di per se i colleghi l ambiente il tipo di lavoro, la retribuzione e tutto ciò che stava intorno al lavoro in se","Buoni pasto, iniziative varie lavorative, stimoli per i lavoratori, premi ecc..",Essere molto attenti sempre nonché concentrati per evitare qualunque tipo di errore.,5,Amazon.com
174,Flex Delivery Partner (Former  Employee),Flex Delivery Partner ,Former Employee, San Francisco Bay Area, CA ," San Francisco Bay Area, CA "," December 11, 2021",Everything you've read in news articles about how Amazon treats its delivery and warehouse employees is true,"They simply could not care any less about you. There is no sense of appreciation whatsoever. Amazon preys on the desperation of the poor and the working class to get them in the door and then will turn around and kick you out just as quickly for making a mistake. What's even more frustrating is they are not transparent with you about what their expectations are. I believe they do this intentionally to keep you constantly walking on eggshells. Unsafe working conditions and completely unrealistic productivity expectations for very little pay. Altogether, a terrible work environment. Run away as fast as you can.",Manageable as a SHORT TERM JOB only,"No benefits, very low pay, unsafe conditions, unrealistic expectations, you will be treated like a machine",1,Amazon.com
175,Customer Service Agent (Former  Employee),Customer Service Agent ,Former Employee, Cape Town, Western Cape ," Cape Town, Western Cape "," December 11, 2021",None,"Great culture and work environment. Sense of belonging. No dress code. One can save from the salary and once permanent, medical aid and provident fund are available benefits.", , ,3,Amazon.com
176,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, Kettering, OH ," Kettering, OH "," December 11, 2021",Everyone is disposable,Extremely easy to get hired because they just need bodies. The job is easy but tiring. There isn’t a ton of oversight by management so it kind of feels like a free for all at times., , ,2,Amazon.com
177,Trainer (Current  Employee),Trainer ,Current Employee, Thornton, CO ," Thornton, CO "," December 11, 2021",Okay place,Competitive pay and advancement opportunities. Good benefits but turnover is pretty terrible. New managers come in straight out of college. Amazon needs to stop that, , ,4,Amazon.com
178,Area Manager (Current  Employee),Area Manager ,Current Employee, Braselton, GA ," Braselton, GA "," December 11, 2021",Pretty good place.,Awesome employees and some supportive manager. Fun environment if you have supportive time. Then end goal is always the same. Just go in with an open mindset and just do your best., , ,4,Amazon.com
179,werehouse associate (Current  Employee),werehouse associate ,Current Employee, Lexington, KY ," Lexington, KY "," December 11, 2021",Amazon was a very place but now is extremely bad,"When I worked for Amazon 5 years ago was very good, but now everything is a messy.
Payment is extremely low for what they ask you to do. All bonus are lyes. They offer but don’t pay. They offer double time but take all overtimes.
They are taking all the benefits and are making Amazon a place like Mcdonalds to work, unfortunately.
I hope they make Amazon great again.",Don’t need experience,"Benefits, payment and management",1,Amazon.com
180,support (Former  Employee),support ,Former Employee, rabat , rabat , rabat ," December 11, 2021",Recepcion,cette une bonne place pour travailler et faire de besnisse,gratuits,pas d avantage,5,Amazon.com
181,Warehouse Team Lead (Former  Employee),Warehouse Team Lead ,Former Employee, Pontiac, MI ," Pontiac, MI "," December 11, 2021",Job title STOW,I worked for a while full time nights shift Pontiac Michigan DT3 location it ok job there were offering $3000 bonus my pay was 15 an hour since I worked nights I got 17 an hour weekly pay no question asked on interview after working 1 month you can transfer to other departments with in the building or different locations other city,Weekly check ok benefit employees discount on Amazon products only,Very hard work long shift moving up is poor management very difficult,3,Amazon.com
182,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, Raleigh, NC ," Raleigh, NC "," December 11, 2021",cool and exciting,wow its really cool and exciting and fun and cool and exciting and work free and cool and nutritous and peoople love you there and even more so its a family;, , ,3,Amazon.com
183,Mozo de almacén (Current  Employee),Mozo de almacén ,Current Employee, Sevilla, Dos hermanas ," Sevilla, Dos hermanas "," December 11, 2021",Buen ambiente de trabajo.,"Es una empresa donde se trabaja mucho m, pero también es bien remunerada, solo me gustaría que los contratos sean de larga duración, para poder estar un poco más cómodo sin incertidumbre,",Bien remunerado y te enseñan todo lo que debes hacer,Poco descanso para ser 8 horas de trabajo,5,Amazon.com
184,Superviseur logistique (Former  Employee),Superviseur logistique ,Former Employee, 95470 Survilliers , 95470 Survilliers , 95470 Survilliers ," December 11, 2021",Environnement de travail agréable,"Très bonne organisation de l'activité, bon relationnel avec les collègues et la direction.","Organisation, moyens, formations.", ,5,Amazon.com
185,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Troutdale, OR ," Troutdale, OR "," December 10, 2021",Good benes always work,Overall good job if your young and willing to work hard. Stay off your phone and dont whine about the hour. Enjoy the 3 day weekend most of the tim. And an occasional extra day off. Peak in December sucks but there a "peak" in every company.,always something to do,short lunchs,4,Amazon.com
186,Safety Operations (Former  Employee),Safety Operations ,Former Employee, Canada , Canada , Canada ," December 10, 2021",Worst management in Canada.,"Management fully failed to implementing of their rules & policies of Canadian standards.
No one gentleman can work there. This environment for cowboy", , ,3,Amazon.com
187,Warehouse Operative (Current  Employee),Warehouse Operative ,Current Employee, Rochester, Kent ," Rochester, Kent "," December 10, 2021",Terrible job and even worse supervisors,"DO NOT JOIN A AMAZON WAREHOUSE!

The job is horrible don’t even bother joining up especially through pmp even though it’s most likely the only way you’ll be hired, the warehouse is organised and sanitary but it’s also empty and low on staff and now I know why, the job is a mind numbing time waster especially on those days when there is literally nothing for you to do because they’re low on volume which believe me is more than you might think especially during peak, I expected it to busy and bustling but it’s not, it’s just a bunch miserable people filling their miserable roles, supervisors are no different if they’re having a bad day than so is everyone else, they like to get off on their little power trips correcting you for mistakes you haven’t made and blaming you for things you had no part in just because you’re a temp worker, holding the promised bonus over your head threatening that you won’t get if you don’t do as they say, I find hilarious how they offer voluntary time off during your shift especially when it’s within the last couple of hours knowing that if you take it you’re not going to get paid for the hours you just worked that day, as for training their basically isn’t none they just blast you with a bunch of different information in one day and than expect you to get on with it and know everything right off the bat and then get annoyed with you as if it’s your fault that you couldn’t absorb the entirety of the job in 6 hours, also during training my instructor literally told me how bad the job was in a joking manor at the time I thought they weren't being serious","Decent wage, non existent interview process","Bodily pain, mental pain, terrible training, terrible supervisors",1,Amazon.com
188,Picker/Packer (Former  Employee),Picker/Packer ,Former Employee, Tulsa, OK ," Tulsa, OK "," December 10, 2021",Work is consistent and during holidays overtime is required.,No dress code. Able to transfer other Departments and change schedule after 90 days of working there. Slim raise every few months. Offer to cover a portion of school.,Flexible work schedule Double pay at times No dress code,Short break Short notice at times of overtime,4,Amazon.com
189,UTR Process Assistant (Former  Employee),UTR Process Assistant ,Former Employee, Whitsett, NC ," Whitsett, NC "," December 10, 2021",It's ok if you aren't a tier 1,If you can get out of tier 1 it's a really good place to work. The really big issue I had was the only way to really move up was to go to new sites. And understand that the better you are at your job the more they expect out of you., , ,4,Amazon.com
190,Associate (Former  Employee),Associate ,Former Employee, Sacramento, CA ," Sacramento, CA "," December 10, 2021",Worker bee,You’re there to work and leave. It’s easy but long days it’s not a job that I would want to do for more than a few months. I don’t feel like management gets to know you you’re just another person to them, , ,3,Amazon.com
191,Picker (Current  Employee),Picker ,Current Employee, Fort Worth, TX ," Fort Worth, TX "," December 10, 2021",Flexibility,Flexibility is the main pro besides that lack of assistance / resources would be the con they should hire more human resource and call them managers because they are the only ones who seem to manage anything,Lack of human resource, ,3,Amazon.com
192,Human Resources Manager (Former  Employee),Human Resources Manager ,Former Employee, Calgary, AB ," Calgary, AB "," December 10, 2021",Cutthroat and toxic,"Amazon’s culture is unlike any other in terms of being fast paced. I can deal with changes in the day to day work but literally if you miss one day in the office you come back to chaos. The compensation structure is a mystery and varies person to person as they offer a mix of signing bonus, stocks and base salary and won’t offer a raise even if you’re a high performer (at review time or even for cost of living) if you were hired at the “top of the salary band”, especially if you have stock grants that have appreciated in value even though you cannot access stock for many years when you join. Favouritism is highly evident in the promotions process and is based on your ability to do extra work, which translates into working overtime so is highly discriminatory to moms and people with family responsibility. You’ll be expected to answer your phone around the clock as well. Also expected to work on your days off during peak season.

The focus on the location and company’s KPIs is so strong that the KPIs are often manipulated and lose their purpose for the sake of showing “green”. And all positions are expected to handle operations KPI tasks even if you don’t work in the operation which adds a lot of stress and takes away from your time as a support staff member.",10% merchandise discount,Discriminatory,1,Amazon.com
193,Picker (Former  Employee),Picker ,Former Employee, Aurora, IL ," Aurora, IL "," December 10, 2021",what you'd expect,"Overall a very good company to work for. management and everyone i have come in contact with has been extremely nice. objectives are clear and if you do what youre supposed to, you'll be good", , ,5,Amazon.com
194,Shopper (Current  Employee),Shopper ,Current Employee, Cincinnati, OH ," Cincinnati, OH "," December 10, 2021",Fast Paced mostly friendly environment,"The current position I hold this time is a shopper. Flexible hours/days, random bonuses from surveys/contests if you choose to participate. The pay is decent but it is a fast paced job where you do a lot of walking, pushing, lifting and shopping. Make sure you eat to stay energized and don’t be afraid to ask for help or understanding if needed.","Sometimes free lunch, contests, flexible schedule",Short breaks,4,Amazon.com
195,Area Manager (Former  Employee),Area Manager ,Former Employee, BHX4 , BHX4 , BHX4 ," December 10, 2021","Great pay however, toxic work culture","Graduate Area Manager. Great graduate wage however, cut throat and fairly insidious. Wages work in tier system and it is a crab in the bucket- esq environment for level 4 AMs.",Great pay,Toxic work culture,3,Amazon.com
196,Warehouse Associate (STL5) (Current  Employee),Warehouse Associate ,Current Employee, Hazelwood, MO ," Hazelwood, MO "," December 10, 2021",Repetitive but easy,"This job is really easy STL5 is the best Amazon I have worked at I love working at sort center. All you do is scan, sort, and stack packages. 3-5hr of work for every shift you work and u are guaranteed at least 16hrs a week but u can pick up shift if they are available. The major cons are the managers and coworkers can be very annoying bc it seems like no one is working which guarantees a flex up(5hrs) and also the breaks are so short that by the time u get to the break room u only have 7 or you 15mins left",Easy & Flexible,Short breaks,4,Amazon.com
197,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Chattanooga, TN ," Chattanooga, TN "," December 10, 2021",Horrible,"Only do it for a quick check not healthy for long term everyone there hates it. Short breaks and always complain about rates and performance, real robotic work place",None maybe double pay for OT,Everything,2,Amazon.com
198,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Peterborough , Peterborough , Peterborough ," December 10, 2021",Work camp,You are just a number! You Can work very hard but at the end they will kick your a.. One of the biggest company on the world So do not expect briliant job 😂, , ,1,Amazon.com
199,Problem Solver (Former  Employee),Problem Solver ,Former Employee, Toronto, ON ," Toronto, ON "," December 10, 2021",Best place to work,Work place is super cool the only problem I faced sum people will force you to talk in hindi if you don't know also they will talk with you. But you can't do any thing because from ground level to high level people even one will do that they won't talk in English. If they k ow English also they won't talk. If you really work hard you can grow in amazon .I love amazon, , ,5,Amazon.com
200,Forklift Driver (Former  Employee),Forklift Driver ,Former Employee, New Westminster, BC ," New Westminster, BC "," December 10, 2021",Decent,"-pay was good for warehouse work
-guaranteed 40 hours a week
-ability to go part-time if you want
-get to learn how to drive variety of different forklifts",giveways during holiday season,physical strenuous,5,Amazon.com
201,DIspatcher (Former  Employee),DIspatcher ,Former Employee, Noisy, Noisy, Noisy,le,Travail,Stressant mais bien remuneré. De longue journée afin d'atteindre les objectifs souhaités, , ,4,Amazon.com
202,Step Van Driver (Current  Employee),Step Van Driver ,Current Employee, Baltimore, MD ," Baltimore, MD "," December 10, 2021",Fast Pace Job,The job is very easy 💯. It doesn’t take a rocket scientist to do this job. All you have to do is drive like you have sense and pay attention to customers notes.,Free Work Boots,Pay 💰 not good at all,3,Amazon.com
203,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Virginia , Virginia , Virginia ," December 10, 2021",Not for students,"Amazon is literally the last place on earth that you should apply to. They don’t pay well for the amount of work you do AND they treat you like
animals l. Bad for your body!!", , ,3,Amazon.com
204,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Stone Mountain, GA ," Stone Mountain, GA "," December 10, 2021",Long days,Amazon is a good job to have but the hours can be long and tiring. Peak season is also tiring to with the mandatory overtime but they don’t need people so you stand around, , ,3,Amazon.com
205,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Austin, TX ," Austin, TX "," December 10, 2021",Average Warehouse Work,"Average warehouse gig with average hourly wage. Sorted packages and placed them in the correct baskets for delivery. There were mandatory breaks throughout the day, but managers would get very pushy if anyone took a longer break or had any decrease in productivity.", , ,3,Amazon.com
206,Amazon Warehouse Blue Badge Associate (Former  Employee),Amazon Warehouse Blue Badge Associate ,Former Employee, Moreno Valley, CA ," Moreno Valley, CA "," December 10, 2021",Slave work,Low pay and over worked. I do not recommend this job to any one looking for growth. Manners have fairies and it’s hard to grow in an environment like that, , ,2,Amazon.com
